"@timestamp",message,"kubernetes.pod.name"
"Feb 7, 2024 @ 10:35:47.938","2024-02-07 09:35:47 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:35:46.929","2024-02-07 09:35:46 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:35:45.910","2024-02-07 09:35:45 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:35:44.898","2024-02-07 09:35:44 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:35:43.888","2024-02-07 09:35:43 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:35:42.875","2024-02-07 09:35:42 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:35:41.848","2024-02-07 09:35:41 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:35:40.834","2024-02-07 09:35:40 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:35:39.821","2024-02-07 09:35:39 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:35:38.807","2024-02-07 09:35:38 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:35:37.792","2024-02-07 09:35:37 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:35:36.779","2024-02-07 09:35:36 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:35:35.764","2024-02-07 09:35:35 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:35:34.753","2024-02-07 09:35:34 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:35:33.742","2024-02-07 09:35:33 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:35:32.728","2024-02-07 09:35:32 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:35:31.715","2024-02-07 09:35:31 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:35:30.701","2024-02-07 09:35:30 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:35:29.687","2024-02-07 09:35:29 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:35:28.675","2024-02-07 09:35:28 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:35:27.619","2024-02-07 09:35:27 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:35:26.608","2024-02-07 09:35:26 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:35:25.594","2024-02-07 09:35:25 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:35:24.583","2024-02-07 09:35:24 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:35:23.570","2024-02-07 09:35:23 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:35:22.565","2024-02-07 09:35:22 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:35:21.547","2024-02-07 09:35:21 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:35:20.533","2024-02-07 09:35:20 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:35:19.521","2024-02-07 09:35:19 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:35:18.507","2024-02-07 09:35:18 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:35:17.483","2024-02-07 09:35:17 INFO  Lag:82 - total lag 0",controllerandscaler
"Feb 7, 2024 @ 10:35:16.470","2024-02-07 09:35:16 INFO  Lag:82 - total lag 0",controllerandscaler
