"@timestamp",message,"kubernetes.pod.name"
"Feb 23, 2024 @ 10:49:19.345","2024-02-23 09:49:19 INFO  Consumer:82 -  latency is 6","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:18.345","2024-02-23 09:49:18 INFO  Consumer:82 -  latency is 7","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:17.470","2024-02-23 09:49:17 INFO  Consumer:82 -  latency is 133","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:16.344","2024-02-23 09:49:16 INFO  Consumer:82 -  latency is 7","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:15.350","2024-02-23 09:49:15 INFO  Consumer:82 -  latency is 14","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:15.345","2024-02-23 09:49:15 INFO  Consumer:82 -  latency is 8","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:14.350","2024-02-23 09:49:14 INFO  Consumer:82 -  latency is 14","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:14.343","2024-02-23 09:49:14 INFO  Consumer:82 -  latency is 7","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:13.354","2024-02-23 09:49:13 INFO  Consumer:82 -  latency is 17","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:13.348","2024-02-23 09:49:13 INFO  Consumer:82 -  latency is 12","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:13.343","2024-02-23 09:49:13 INFO  Consumer:82 -  latency is 7","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:12.361","2024-02-23 09:49:12 INFO  Consumer:82 -  latency is 25","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:12.353","2024-02-23 09:49:12 INFO  Consumer:82 -  latency is 17","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:12.348","2024-02-23 09:49:12 INFO  Consumer:82 -  latency is 12","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:12.343","2024-02-23 09:49:12 INFO  Consumer:82 -  latency is 8","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:11.360","2024-02-23 09:49:11 INFO  Consumer:82 -  latency is 25","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:11.355","2024-02-23 09:49:11 INFO  Consumer:82 -  latency is 20","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:11.348","2024-02-23 09:49:11 INFO  Consumer:82 -  latency is 12","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:11.343","2024-02-23 09:49:11 INFO  Consumer:82 -  latency is 7","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:10.367","2024-02-23 09:49:10 INFO  Consumer:82 -  latency is 32","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:10.360","2024-02-23 09:49:10 INFO  Consumer:82 -  latency is 25","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:10.355","2024-02-23 09:49:10 INFO  Consumer:82 -  latency is 20","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:10.350","2024-02-23 09:49:10 INFO  Consumer:82 -  latency is 14","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:10.342","2024-02-23 09:49:10 INFO  Consumer:82 -  latency is 7","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:09.380","2024-02-23 09:49:09 INFO  Consumer:82 -  latency is 45","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:09.375","2024-02-23 09:49:09 INFO  Consumer:82 -  latency is 40","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:09.370","2024-02-23 09:49:09 INFO  Consumer:82 -  latency is 35","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:09.362","2024-02-23 09:49:09 INFO  Consumer:82 -  latency is 26","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:09.356","2024-02-23 09:49:09 INFO  Consumer:82 -  latency is 21","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:09.351","2024-02-23 09:49:09 INFO  Consumer:82 -  latency is 16","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:09.343","2024-02-23 09:49:09 INFO  Consumer:82 -  latency is 7","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:08.381","2024-02-23 09:49:08 INFO  Consumer:82 -  latency is 46","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:08.376","2024-02-23 09:49:08 INFO  Consumer:82 -  latency is 41","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:08.370","2024-02-23 09:49:08 INFO  Consumer:82 -  latency is 36","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:08.365","2024-02-23 09:49:08 INFO  Consumer:82 -  latency is 31","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:08.357","2024-02-23 09:49:08 INFO  Consumer:82 -  latency is 23","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:08.352","2024-02-23 09:49:08 INFO  Consumer:82 -  latency is 18","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:08.347","2024-02-23 09:49:08 INFO  Consumer:82 -  latency is 13","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:08.342","2024-02-23 09:49:08 INFO  Consumer:82 -  latency is 8","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:07.387","2024-02-23 09:49:07 INFO  Consumer:82 -  latency is 53","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:07.382","2024-02-23 09:49:07 INFO  Consumer:82 -  latency is 48","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:07.376","2024-02-23 09:49:07 INFO  Consumer:82 -  latency is 42","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:07.371","2024-02-23 09:49:07 INFO  Consumer:82 -  latency is 37","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:07.364","2024-02-23 09:49:07 INFO  Consumer:82 -  latency is 30","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:07.359","2024-02-23 09:49:07 INFO  Consumer:82 -  latency is 25","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:07.354","2024-02-23 09:49:07 INFO  Consumer:82 -  latency is 19","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:07.348","2024-02-23 09:49:07 INFO  Consumer:82 -  latency is 14","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:07.341","2024-02-23 09:49:07 INFO  Consumer:82 -  latency is 7","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:06.391","2024-02-23 09:49:06 INFO  Consumer:82 -  latency is 57","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:06.386","2024-02-23 09:49:06 INFO  Consumer:82 -  latency is 52","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:06.381","2024-02-23 09:49:06 INFO  Consumer:82 -  latency is 47","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:06.376","2024-02-23 09:49:06 INFO  Consumer:82 -  latency is 42","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:06.369","2024-02-23 09:49:06 INFO  Consumer:82 -  latency is 35","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:06.364","2024-02-23 09:49:06 INFO  Consumer:82 -  latency is 29","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:06.358","2024-02-23 09:49:06 INFO  Consumer:82 -  latency is 24","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:06.353","2024-02-23 09:49:06 INFO  Consumer:82 -  latency is 19","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:06.346","2024-02-23 09:49:06 INFO  Consumer:82 -  latency is 12","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:06.341","2024-02-23 09:49:06 INFO  Consumer:82 -  latency is 7","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:05.400","2024-02-23 09:49:05 INFO  Consumer:82 -  latency is 67","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:05.395","2024-02-23 09:49:05 INFO  Consumer:82 -  latency is 61","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:05.389","2024-02-23 09:49:05 INFO  Consumer:82 -  latency is 56","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:05.384","2024-02-23 09:49:05 INFO  Consumer:82 -  latency is 51","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:05.379","2024-02-23 09:49:05 INFO  Consumer:82 -  latency is 46","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:05.374","2024-02-23 09:49:05 INFO  Consumer:82 -  latency is 41","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:05.369","2024-02-23 09:49:05 INFO  Consumer:82 -  latency is 36","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:05.361","2024-02-23 09:49:05 INFO  Consumer:82 -  latency is 28","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:05.356","2024-02-23 09:49:05 INFO  Consumer:82 -  latency is 23","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:05.351","2024-02-23 09:49:05 INFO  Consumer:82 -  latency is 18","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:05.346","2024-02-23 09:49:05 INFO  Consumer:82 -  latency is 13","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:05.341","2024-02-23 09:49:05 INFO  Consumer:82 -  latency is 8","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:04.412","2024-02-23 09:49:04 INFO  Consumer:82 -  latency is 79","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:04.407","2024-02-23 09:49:04 INFO  Consumer:82 -  latency is 74","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:04.399","2024-02-23 09:49:04 INFO  Consumer:82 -  latency is 66","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:04.394","2024-02-23 09:49:04 INFO  Consumer:82 -  latency is 61","latency-74975dc98-rrw6b"
"Feb 23, 2024 @ 10:49:04.389","2024-02-23 09:49:04 INFO  Consumer:82 -  latency is 56","latency-74975dc98-rrw6b"
